exit_code	kind	file	seconds	result
0	pytest	academic_writer_outline_test.py	4	2 passed
0	pytest	agent_inspector_ui_test.py	95	6 passed
0	script	app_boot_test.py	37	exit=0
0	pytest	brand_assets_test.py	7	10 passed
0	pytest	case_portfolio_test.py	6	23 passed
0	pytest	case_provenance_test.py	8	4 passed
0	pytest	context_knowledge_ui_test.py	61	4 passed
0	pytest	delivery_builder_ui_test.py	110	4 passed
0	pytest	delivery_review_test.py	37	1 passed
0	pytest	delivery_snapshot_test.py	86	10 passed
0	pytest	finalization_workspace_test.py	38	6 passed
0	pytest	gui_launcher_test.py	5	5 passed
0	pytest	history_library_test.py	93	32 passed
0	pytest	inbox_project_density_test.py	358	20 passed
0	pytest	language_assets_workspace_test.py	443	39 passed
0	pytest	legacy_case_recovery_test.py	5	11 passed
0	pytest	legacy_literature_recovery_test.py	5	3 passed
0	pytest	literature_upload_test.py	5	2 passed
0	pytest	mti_finalization_fixture_test.py	5	1 passed
0	pytest	phase35_task_policy_ui_test.py	66	2 passed
0	pytest	phase35_workspace_view_test.py	5	8 passed
0	pytest	phase3_review_runtime_compat_test.py	8	5 passed
0	pytest	phase3_workbench_ui_test.py	254	13 passed
0	pytest	phase3_workbench_view_test.py	5	13 passed
0	pytest	project_context_hierarchy_test.py	345	18 passed
0	pytest	project_detail_visual_system_test.py	523	28 passed
0	pytest	project_lifecycle_test.py	16	18 passed
0	pytest	project_memory_test.py	307	45 passed
0	pytest	project_overview_structure_test.py	347	18 passed
0	pytest	project_task_navigation_test.py	1537	85 passed
0	pytest	provider_exchange_modes_test.py	10	8 passed
0	pytest	recovery_ui_test.py	31	1 passed
0	pytest	red_team_acceptance_test.py	41	18 passed
0	pytest	report_template_test.py	14	30 passed
0	pytest	report_workspace_test.py	220	11 passed
0	pytest	revision_case_eligibility_test.py	5	11 passed
0	pytest	runtime_eval_test.py	9	1 passed
0	pytest	runtime_quality_regression_test.py	9	11 passed
0	pytest	runtime_resume_ui_test.py	45	2 passed
0	pytest	runtime_state_test.py	19	14 passed
0	pytest	runtime_status_test.py	10	1 passed
0	pytest	scenario_gate_test.py	84	12 passed
0	pytest	segment_navigation_test.py	235	11 passed
0	pytest	semantic_repair_test.py	5	7 passed
0	pytest	smoke_test.py	22	28 passed
0	pytest	stage2_dependency_test.py	9	8 passed
0	pytest	stage3_case_review_test.py	11	7 passed
0	pytest	stage4_compliance_test.py	8	25 passed
0	pytest	stage5_rendered_qa_test.py	11	7 passed
0	pytest	stage6_anonymous_mti_regression_test.py	11	10 passed
0	pytest	style_profile_test.py	8	6 passed
0	pytest	synthetic_cases_test.py	9	22 passed
0	pytest	task_overview_state_test.py	5	35 passed
0	pytest	task_overview_ui_test.py	218	12 passed
0	pytest	terminology_governance_test.py	36	32 passed
0	pytest	translation_core_phase2_test.py	9	10 passed
0	pytest	translation_core_test.py	5	25 passed
0	pytest	translation_planner_test.py	5	32 passed
0	pytest	translation_runtime_test.py	12	27 passed
0	pytest	translation_workbench_test.py	11	3 passed
0	pytest	translation_workbench_ui_test.py	41	1 passed
0	pytest	ui_console_test.py	386	10 passed
